"filename", "language", "JavaScript", "JSON", "Vue", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\Home\blog\UC-blog\blog-app\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 2, 11
"d:\Home\blog\UC-blog\blog-app\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Home\blog\UC-blog\blog-app\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\Home\blog\UC-blog\blog-app\build\utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 5, 17, 102
"d:\Home\blog\UC-blog\blog-app\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Home\blog\UC-blog\blog-app\build\webpack.base.conf.js", "JavaScript", 81, 0, 0, 0, 0, 0, 4, 5, 90
"d:\Home\blog\UC-blog\blog-app\build\webpack.dev.conf.js", "JavaScript", 82, 0, 0, 0, 0, 0, 7, 7, 96
"d:\Home\blog\UC-blog\blog-app\build\webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 24, 8, 146
"d:\Home\blog\UC-blog\blog-app\config\dev.env.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Home\blog\UC-blog\blog-app\config\index.js", "JavaScript", 37, 0, 0, 0, 0, 0, 33, 15, 85
"d:\Home\blog\UC-blog\blog-app\config\prod.env.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Home\blog\UC-blog\blog-app\index.html", "HTML", 0, 0, 0, 0, 0, 20, 1, 3, 24
"d:\Home\blog\UC-blog\blog-app\package-lock.json", "JSON", 0, 25959, 0, 0, 0, 0, 0, 1, 25960
"d:\Home\blog\UC-blog\blog-app\package.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 1, 73
"d:\Home\blog\UC-blog\blog-app\src\App.vue", "Vue", 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\Home\blog\UC-blog\blog-app\src\Home.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 9, 49
"d:\Home\blog\UC-blog\blog-app\src\api\article.js", "JavaScript", 79, 0, 0, 0, 0, 0, 9, 10, 98
"d:\Home\blog\UC-blog\blog-app\src\api\category.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 3, 25
"d:\Home\blog\UC-blog\blog-app\src\api\comment.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 1, 29
"d:\Home\blog\UC-blog\blog-app\src\api\login.js", "JavaScript", 70, 0, 0, 0, 0, 0, 7, 6, 83
"d:\Home\blog\UC-blog\blog-app\src\api\tag.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 4, 33
"d:\Home\blog\UC-blog\blog-app\src\api\upload.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Home\blog\UC-blog\blog-app\src\assets\css\global.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 5, 31
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 19, 86, 540
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\demo_fontclass.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 13, 77
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\demo_index.html", "HTML", 0, 0, 0, 0, 0, 208, 2, 21, 231
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\demo_symbol.html", "HTML", 0, 0, 0, 0, 0, 98, 0, 14, 112
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\demo_unicode.html", "HTML", 0, 0, 0, 0, 0, 98, 0, 17, 115
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\iconfont.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\iconfont.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\Home\blog\UC-blog\blog-app\src\assets\icon\iconfont.svg", "XML", 0, 0, 0, 29, 0, 0, 3, 20, 52
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\alert.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\aside.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\autocomplete.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\badge.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\base.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\breadcrumb-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\breadcrumb.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\button-group.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\button.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\card.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\carousel-item.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\carousel.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\cascader.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\checkbox-button.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\checkbox-group.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\checkbox.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\col.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\collapse-item.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\collapse.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
